JG1001,Cristales de Eternia,Nintendo Switch,RPG,72,64.43,11/09/2020
JG1002,Sombra sobre Titanus,Xbox Series X,Estrategia,77,29.17,22/04/2021
JG1003,Legado de los Astromantes,Xbox Series X,RPG,60,26.20,17/04/2021
JG1004,Oasis de Acero,Xbox Series X,RPG,87,31.08,21/06/2021
JG1005,Vuelo de Phoenix,Xbox Series X,Shooter,98,50.47,29/09/2020
JG1006,El Reino Olvidado,Nintendo Switch,Shooter,27,60.70,19/07/2022
JG1007,La Rebelión de Orion,Xbox Series X,Acción,74,50.29,16/12/2021
JG1008,Cazadores de Leyendas,PC,Deportes,8,64.96,27/07/2021
JG1009,Ecos de Avalon,Nintendo Switch,Deportes,18,47.38,21/02/2022
JG1010,El Horizonte de Neptuno,PS5,Deportes,68,65.55,30/03/2022
JG1011,Lazos de Tiempo,PC,Acción,41,60.31,02/07/2021
JG1012,Máscaras de la Noche Eterna,PS5,Acción,34,54.31,16/09/2021
JG1013,Travesía del Cazador,Xbox Series X,Deportes,64,38.55,01/09/2021
JG1014,Dinastía Solar,Xbox Series X,Shooter,96,31.62,06/11/2020
JG1015,Ciudad Flotante,PS5,Shooter,82,41.77,30/08/2020
JG1016,El Resurgir del Dragón,PC,Acción,11,27.46,04/09/2022
JG1017,Profecía de los Tres Mundos,PS5,RPG,25,28.23,13/04/2022
JG1018,A través del Espejo,PS5,Acción,32,53.58,13/07/2022
JG1019,La Orden del Fénix de Jade,Xbox Series X,Deportes,16,21.24,24/09/2022
JG1020,Tierras de Hielo,PS5,RPG,2,23.11,17/03/2021
JG1021,Minotauro Galáctico,Nintendo Switch,RPG,85,25.40,12/08/2022
JG1022,El Despertar de los Elementales,PC,RPG,6,43.76,28/07/2022
JG1023,La Danza de los Cuervos,PS5,Estrategia,18,24.67,16/02/2020
JG1024,Puertas del Abismo,Xbox Series X,Acción,30,25.49,05/07/2021
JG1025,Odisea Estelar,Xbox Series X,Aventura,22,54.63,14/05/2020
